Date,0M,1M,2M,3M,4M,5M,6M,7M
2015-10-27,15.43,16.700000000000003,17.505,18.220535714285717,18.617857142857144,18.965,19.239285714285714,19.5125
2015-10-28,14.33,16.339285714285715,17.210714285714285,17.950000000000003,18.34464285714286,18.67642857142857,18.960714285714285,19.260714285714286
2015-10-29,14.61,16.54642857142857,17.43642857142857,18.119642857142857,18.553571428571427,18.887857142857143,19.132142857142856,19.400892857142857
2015-10-30,15.07,16.975,17.810714285714287,18.460714285714285,18.825,19.172142857142855,19.425,19.6375
2015-11-02,14.15,16.276785714285715,17.165,17.864285714285714,18.260714285714286,18.63357142857143,18.921428571428574,19.191964285714285
2015-11-03,14.54,16.58214285714286,17.459285714285713,18.132142857142856,18.48035714285714,18.885,19.139285714285716,19.3
2015-11-04,15.51,17.2,17.917857142857144,18.5125,18.857142857142858,19.165000000000003,19.410714285714285,19.529285714285713
2015-11-05,15.05,16.59642857142857,17.45642857142857,18.107142857142858,18.514285714285712,18.867857142857144,19.166071428571428,19.35
2015-11-06,14.33,16.275000000000002,17.18857142857143,17.87232142857143,18.3,18.700714285714287,18.975,19.228571428571428
2015-11-09,16.52,17.37857142857143,17.955,18.50892857142857,18.78642857142857,19.16357142857143,19.33125,19.512857142857143
2015-11-10,15.29,16.8,17.54642857142857,18.225,18.549285714285713,18.95,19.189285714285717,19.41
2015-11-11,16.06,17.332142857142856,17.889285714285716,18.485714285714288,18.832142857142856,19.183928571428574,19.45625,19.771428571428572
2015-11-12,18.37,18.71964285714286,19.11357142857143,19.539285714285715,19.785,20.082142857142856,20.21785714285714,20.42
2015-11-13,20.08,19.875,20.125,20.401785714285715,20.564999999999998,20.751785714285717,20.9,21.02642857142857
2015-11-16,18.16,17.892142857142858,18.489285714285714,18.917857142857144,19.166428571428572,19.5125,19.707142857142856,19.98
2015-11-17,18.84,18.539285714285715,18.803571428571427,19.23125,19.537142857142857,19.85625,20.10535714285714,20.395
